REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,AREA_HA,NH,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,REP_CARD,A_BENTHIC_REP_CARD,BENTHIC_SEC_CODE,GEN_MHI_STRUCTURE,PROTECTION_DS,NOTES
CT,Timor Leste,LIQ,Forereef,Mid,1,NA,LIQ,LIQ,LIQ,LIQ,LIQ,LIQ,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,LIQ,Forereef,Shallow,1,NA,LIQ,LIQ,LIQ,LIQ,LIQ,LIQ,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,MAN,Forereef,Mid,1,NA,MAN,MAN,MAN,MAN,MAN,MAN,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,MAN,Forereef,Shallow,1,NA,MAN,MAN,MAN,MAN,MAN,MAN,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,OEC,Forereef,Mid,1,NA,OEC,OEC,OEC,OEC,OEC,OEC,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,OEC,Forereef,Shallow,1,NA,OEC,OEC,OEC,OEC,OEC,OEC,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,VIL,Forereef,Mid,1,NA,VIL,VIL,VIL,VIL,VIL,VIL,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,VIL,Forereef,Shallow,1,NA,VIL,VIL,VIL,VIL,VIL,VIL,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
MARIAN,11-mile bank,11-mile bank,Forereef,Deep,2.642415605,NA,11-mile bank,11-mile bank,11-mile bank,11-mile bank,11-mile bank,NOT,11-mile bank,11-mile bank,NA,NA,
MARIAN,Agrihan,Agrihan,Forereef,Deep,455.6356862,1823,Agrihan,Agrihan,Agrihan,Agrihan,Agrihan,CNMI_UNPOP,AGR,AGR,,OPEN,
MARIAN,Agrihan,Agrihan,Forereef,Mid,51.8014133,207,Agrihan,Agrihan,Agrihan,Agrihan,Agrihan,CNMI_UNPOP,AGR,AGR,,OPEN,
MARIAN,Agrihan,Agrihan,Forereef,Shallow,343.1901754,1373,Agrihan,Agrihan,Agrihan,Agrihan,Agrihan,CNMI_UNPOP,AGR,AGR,,OPEN,
