SITE,SITEVISITID,DATE_,OBS_YEAR,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,EXCLUDE_FLAG,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_SCHEME,ANALYSIS_YEAR,ANALYSIS_STRATA,ANALYSIS_SEC,MPA_Name,MPA_Estab_Yr,Protection,TUT2012,OTHER_AREA_GROUPING
DIL-00012,5894,6/27/13,2013,CT,Timor Leste,Forereef,Mid,-8.51266094,125.7440075,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,DIL,NA,NA,NA,NA,
DIL-00018,5749,6/5/13,2013,CT,Timor Leste,Forereef,Shallow,-8.52016878,125.6125487,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,DIL,NA,NA,NA,NA,
DIL-00021,5745,6/5/13,2013,CT,Timor Leste,Forereef,Shallow,-8.48377934,125.8335085,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,DIL,NA,NA,NA,NA,
DIL-00022,5734,6/4/13,2013,CT,Timor Leste,Forereef,Shallow,-8.52391566,125.6966602,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,DIL,NA,NA,NA,NA,
DIL-00023,5736,6/4/13,2013,CT,Timor Leste,Forereef,Shallow,-8.52222185,125.6472684,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,DIL,NA,NA,NA,NA,
DIL-00024,5733,6/4/13,2013,CT,Timor Leste,Forereef,Mid,-8.51840138,125.6212158,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,DIL,NA,NA,NA,NA,
DIL-00026,5744,6/5/13,2013,CT,Timor Leste,Forereef,Mid,-8.48451426,125.8181865,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,DIL,NA,NA,NA,NA,
DIL-00031,5896,6/27/13,2013,CT,Timor Leste,Forereef,Shallow,-8.49944537,125.7914566,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,DIL,NA,NA,NA,NA,
DIL-00032,5897,6/27/13,2013,CT,Timor Leste,Forereef,Mid,-8.50041163,125.7754119,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,DIL,NA,NA,NA,NA,
LAU-00002,5852,6/21/13,2013,CT,Timor Leste,Forereef,Mid,-8.37661394,127.2324024,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00003,5887,6/26/13,2013,CT,Timor Leste,Forereef,Mid,-8.36278866,127.1033338,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00004,5856,6/21/13,2013,CT,Timor Leste,Forereef,Mid,-8.33833396,127.1736055,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00006,5880,6/26/13,2013,CT,Timor Leste,Forereef,Mid,-8.44650786,127.3202945,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00008,5854,6/21/13,2013,CT,Timor Leste,Forereef,Mid,-8.36473268,127.2218369,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00009,5872,6/25/13,2013,CT,Timor Leste,Forereef,Shallow,-8.3869681,127.2783898,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00010,5884,6/26/13,2013,CT,Timor Leste,Forereef,Shallow,-8.36661399,127.1158299,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00011,5883,6/26/13,2013,CT,Timor Leste,Forereef,Mid,-8.36461097,127.1346149,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00013,5870,6/25/13,2013,CT,Timor Leste,Forereef,Shallow,-8.38282577,127.2531363,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00014,5888,6/26/13,2013,CT,Timor Leste,Forereef,Shallow,-8.36365887,127.0956212,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00018,5857,6/21/13,2013,CT,Timor Leste,Forereef,Shallow,-8.35637575,127.1527105,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00020,5873,6/25/13,2013,CT,Timor Leste,Forereef,Mid,-8.38636737,127.2840086,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00022,5871,6/25/13,2013,CT,Timor Leste,Forereef,Mid,-8.38647449,127.2708476,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00023,5882,6/26/13,2013,CT,Timor Leste,Forereef,Shallow,-8.34974994,127.206602,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00024,5885,6/26/13,2013,CT,Timor Leste,Forereef,Shallow,-8.36289394,127.0814288,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00026,5853,6/21/13,2013,CT,Timor Leste,Forereef,Mid,-8.34634488,127.1610022,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00028,5886,6/26/13,2013,CT,Timor Leste,Forereef,Shallow,-8.35353856,127.0585666,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00029,5889,6/26/13,2013,CT,Timor Leste,Forereef,Mid,-8.36219665,127.0751691,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00030,5855,6/21/13,2013,CT,Timor Leste,Forereef,Mid,-8.37833382,127.2407764,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00061,5875,6/25/13,2013,CT,Timor Leste,Forereef,Shallow,-8.418,127.309,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00062,5876,6/25/13,2013,CT,Timor Leste,Forereef,Shallow,-8.41564067,127.3111083,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00063,5874,6/25/13,2013,CT,Timor Leste,Forereef,Mid,-8.410837,127.3121768,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00064,5877,6/25/13,2013,CT,Timor Leste,Forereef,Mid,-8.4082283,127.3194202,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00070,5879,6/25/13,2013,CT,Timor Leste,Forereef,Mid,-8.422,127.307,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LAU-00071,5881,6/26/13,2013,CT,Timor Leste,Forereef,Mid,-8.44447978,127.3414184,-1,LAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LAU,Nino Konis Santana National Park,2007,UNKNOWN,NA,
LIQ-00001,5770,6/10/13,2013,CT,Timor Leste,Forereef,Shallow,-8.5662856,125.3839808,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00007,5767,6/9/13,2013,CT,Timor Leste,Forereef,Mid,-8.55974327,125.4225294,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00008,5771,6/10/13,2013,CT,Timor Leste,Forereef,Shallow,-8.57404531,125.3705049,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00012,5768,6/9/13,2013,CT,Timor Leste,Forereef,Shallow,-8.55971653,125.4495417,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00014,5774,6/10/13,2013,CT,Timor Leste,Forereef,Mid,-8.60224706,125.2861315,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00015,5772,6/10/13,2013,CT,Timor Leste,Forereef,Mid,-8.58463467,125.3294465,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00028,5773,6/10/13,2013,CT,Timor Leste,Forereef,Shallow,-8.60211924,125.2932839,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00030,5769,6/9/13,2013,CT,Timor Leste,Forereef,Mid,-8.56315169,125.391697,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00033,5785,6/11/13,2013,CT,Timor Leste,Forereef,Shallow,-8.63867749,125.1293582,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00035,5775,6/10/13,2013,CT,Timor Leste,Forereef,Mid,-8.60441471,125.2722452,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00036,5781,6/11/13,2013,CT,Timor Leste,Forereef,Mid,-8.61211206,125.1909764,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00039,5783,6/11/13,2013,CT,Timor Leste,Forereef,Mid,-8.62562243,125.1573296,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00040,5790,6/12/13,2013,CT,Timor Leste,Forereef,Shallow,-8.69289349,125.0987708,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00041,5778,6/11/13,2013,CT,Timor Leste,Forereef,Shallow,-8.60471914,125.219306,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00042,5787,6/12/13,2013,CT,Timor Leste,Forereef,Shallow,-8.66275015,125.1104773,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00043,5776,6/10/13,2013,CT,Timor Leste,Forereef,Mid,-8.60307234,125.2573534,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00044,5786,6/12/13,2013,CT,Timor Leste,Forereef,Mid,-8.64469285,125.121287,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00045,5779,6/11/13,2013,CT,Timor Leste,Forereef,Shallow,-8.60679458,125.2076412,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00046,5788,6/12/13,2013,CT,Timor Leste,Forereef,Mid,-8.66948434,125.1067612,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00047,5789,6/12/13,2013,CT,Timor Leste,Forereef,Mid,-8.68075926,125.101837,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00057,5784,6/11/13,2013,CT,Timor Leste,Forereef,Mid,-8.63485711,125.1392117,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00058,5777,6/10/13,2013,CT,Timor Leste,Forereef,Mid,-8.60354391,125.2328826,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00059,5780,6/11/13,2013,CT,Timor Leste,Forereef,Mid,-8.60998213,125.2005531,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00060,5782,6/11/13,2013,CT,Timor Leste,Forereef,Shallow,-8.62141052,125.1679886,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00061,5791,6/12/13,2013,CT,Timor Leste,Forereef,Mid,-8.65055499,125.1152498,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,LIQ,NA,NA,NA,NA,
LIQ-00062,5792,6/12/13,2013,CT,Timor Leste,Forereef,Shallow,-8.62989603,125.1502929,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
LIQ-00063,5793,6/12/13,2013,CT,Timor Leste,Forereef,Shallow,-8.61702972,125.1790254,-1,LIQ,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,LIQ,NA,NA,NA,NA,
MAN-00001,5865,6/24/13,2013,CT,Timor Leste,Forereef,Mid,-8.51128631,126.0478742,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,MAN,NA,NA,NA,NA,
MAN-00007,5866,6/24/13,2013,CT,Timor Leste,Forereef,Mid,-8.48560961,125.9759207,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,MAN,NA,NA,NA,NA,
MAN-00034,5898,6/27/13,2013,CT,Timor Leste,Forereef,Mid,-8.4735452,125.8602526,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,MAN,NA,NA,NA,NA,
MAN-00036,5837,6/19/13,2013,CT,Timor Leste,Forereef,Mid,-8.47829221,125.9510745,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,MAN,NA,NA,NA,NA,
MAN-00037,5895,6/27/13,2013,CT,Timor Leste,Forereef,Shallow,-8.47492126,125.8490961,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,MAN,NA,NA,NA,NA,
MAN-00046,5867,6/24/13,2013,CT,Timor Leste,Forereef,Shallow,-8.48139418,125.9543229,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,MAN,NA,NA,NA,NA,
MAN-00047,5838,6/19/13,2013,CT,Timor Leste,Forereef,Shallow,-8.47885371,125.9276631,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,MAN,NA,NA,NA,NA,
MAN-00051,5839,6/19/13,2013,CT,Timor Leste,Forereef,Shallow,-8.47806464,125.9102964,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,MAN,NA,NA,NA,NA,
MAN-00052,5840,6/19/13,2013,CT,Timor Leste,Forereef,Mid,-8.47376464,125.8945289,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,MAN,NA,NA,NA,NA,
MAN-00053,5843,6/19/13,2013,CT,Timor Leste,Forereef,Mid,-8.4741772,125.8730902,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,MAN,NA,NA,NA,NA,
MAN-00055,5842,6/19/13,2013,CT,Timor Leste,Forereef,Mid,-8.47726291,125.9333509,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,MAN,NA,NA,NA,NA,
MAN-00058,5841,6/19/13,2013,CT,Timor Leste,Forereef,Shallow,-8.4849518,125.9630136,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,MAN,NA,NA,NA,NA,
MAN-00059,5893,6/27/13,2013,CT,Timor Leste,Forereef,Mid,-8.48159635,125.8374567,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,MAN,NA,NA,NA,NA,
MAN-00064,5869,6/24/13,2013,CT,Timor Leste,Forereef,Shallow,-8.47641651,125.9394024,-1,MAN,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,MAN,NA,NA,NA,NA,
