SEC_NAME,ISLAND,REGION,REEF_ZONE,DEPTH_BIN,AREA_HA,UNCERTAIN_SIZE,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,REP_CARD,NOTES
Tatsumi,Tatsumi,MARIAN,Forereef,Mid,136.1279988,N,Tatsumi,Tatsumi,Tatsumi,Tatsumi,Tatsumi,NOT,
Tinian,Tinian,MARIAN,Forereef,Deep,557.103082,N,Tinian,Tinian,Tinian,Tinian,Tinian,SaTiAg,
Tinian,Tinian,MARIAN,Forereef,Mid,534.0549959,N,Tinian,Tinian,Tinian,Tinian,Tinian,SaTiAg,
Tinian,Tinian,MARIAN,Forereef,Shallow,323.0482252,N,Tinian,Tinian,Tinian,Tinian,Tinian,SaTiAg,
HAW_HAMAKUA,Hawaii,MHI,Forereef,Deep,1479.311358,Y ,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,Hawaii,Not much hard/soft information
HAW_HAMAKUA,Hawaii,MHI,Forereef,Mid,2334.19033,Y ,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,Hawaii,Not much hard/soft information
HAW_HAMAKUA,Hawaii,MHI,Forereef,Shallow,1117.329716,Y ,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,HAW_HAMAKUA,Hawaii,Not much hard/soft information
HAW_SE,Hawaii,MHI,Forereef,Deep,593.4841055,N,HAW_SE,HAW_SE,HAW_SE,HAW_SE,HAW_SE,Hawaii,
HAW_SE,Hawaii,MHI,Forereef,Mid,857.7582457,N,HAW_SE,HAW_SE,HAW_SE,HAW_SE,HAW_SE,Hawaii,
HAW_SE,Hawaii,MHI,Forereef,Shallow,666.5433106,N,HAW_SE,HAW_SE,HAW_SE,HAW_SE,HAW_SE,Hawaii,
HAW_PUNA,Hawaii,MHI,Forereef,Deep,1446.862405,N,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,Hawaii,
HAW_PUNA,Hawaii,MHI,Forereef,Mid,1603.885128,N,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,Hawaii,
HAW_PUNA,Hawaii,MHI,Forereef,Shallow,1012.92738,N,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,HAW_PUNA,Hawaii,
HAW_KONA,Hawaii,MHI,Forereef,Deep,1546.877064,N,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,Hawaii,
HAW_KONA,Hawaii,MHI,Forereef,Mid,2362.718917,N,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,Hawaii,
HAW_KONA,Hawaii,MHI,Forereef,Shallow,1817.863584,N,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,HAW_KONA,Hawaii,
KAU_NAPALI,Kauai,MHI,Forereef,Deep,4307.948554,N,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,Kaa-Nii,
KAU_NAPALI,Kauai,MHI,Forereef,Mid,1876.001023,N,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,Kaa-Nii,
KAU_NAPALI,Kauai,MHI,Forereef,Shallow,397.7237848,N,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,KAU_NAPALI,Kaa-Nii,
KAU_EAST,Kauai,MHI,Forereef,Deep,2891.111917,N,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,Kaa-Nii,
KAU_EAST,Kauai,MHI,Forereef,Mid,5602.631417,N,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,Kaa-Nii,
KAU_EAST,Kauai,MHI,Forereef,Shallow,3051.65048,N,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,KAU_EAST,Kaa-Nii,
KAL_KAULA,Kaula,MHI,Forereef,Deep,277.0347708,N,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,Kaa-Nii,
KAL_KAULA,Kaula,MHI,Forereef,Mid,50.28867577,N,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,Kaa-Nii,
KAL_KAULA,Kaula,MHI,Forereef,Shallow,18.50064904,N,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,KAL_KAULA,Kaa-Nii,
LAN_NORTH,Lanai,MHI,Forereef,Deep,291.3020737,N,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,Maui-nui,
LAN_NORTH,Lanai,MHI,Forereef,Mid,599.9003844,N,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,Maui-nui,
LAN_NORTH,Lanai,MHI,Forereef,Shallow,631.8075072,N,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,LAN_NORTH,Maui-nui,
LAN_SOUTH,Lanai,MHI,Forereef,Deep,246.6043512,N,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,Maui-nui,
LAN_SOUTH,Lanai,MHI,Forereef,Mid,487.9877445,N,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,Maui-nui,
LAN_SOUTH,Lanai,MHI,Forereef,Shallow,746.0718328,N,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,LAN_SOUTH,Maui-nui,
MAI_KAHULUI,Maui,MHI,Forereef,Deep,438.345922,N,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,Maui-nui,
MAI_KAHULUI,Maui,MHI,Forereef,Mid,850.0936376,N,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,Maui-nui,
MAI_KAHULUI,Maui,MHI,Forereef,Shallow,1099.201993,N,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,MAI_KAHULUI,Maui-nui,
MAI_KIHEI,Maui,MHI,Forereef,Deep,537.9614588,N,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,MAI_KIHEI,Maui-nui,
